year,state,county_name,candidate,candidatevotes,rn
2000,SOUTH CAROLINA,ABBEVILLE,GEORGE W. BUSH,4450,1
2000,SOUTH CAROLINA,ABBEVILLE,AL GORE,3766,2
2004,SOUTH CAROLINA,ABBEVILLE,GEORGE W. BUSH,5436,1
2004,SOUTH CAROLINA,ABBEVILLE,JOHN KERRY,4389,2
2008,SOUTH CAROLINA,ABBEVILLE,JOHN MCCAIN,6264,1
2008,SOUTH CAROLINA,ABBEVILLE,BARACK OBAMA,4593,2
2012,SOUTH CAROLINA,ABBEVILLE,MITT ROMNEY,5981,1
2012,SOUTH CAROLINA,ABBEVILLE,BARACK OBAMA,4543,2
2016,SOUTH CAROLINA,ABBEVILLE,DONALD TRUMP,6763,1
2016,SOUTH CAROLINA,ABBEVILLE,HILLARY CLINTON,3741,2
2020,SOUTH CAROLINA,ABBEVILLE,DONALD J TRUMP,4306,1
2020,SOUTH CAROLINA,ABBEVILLE,DONALD J TRUMP,3320,2
2000,LOUISIANA,ACADIA,GEORGE W. BUSH,13814,1
2000,LOUISIANA,ACADIA,AL GORE,8892,2
2004,LOUISIANA,ACADIA,GEORGE W. BUSH,16083,1
2004,LOUISIANA,ACADIA,JOHN KERRY,8937,2
2008,LOUISIANA,ACADIA,JOHN MCCAIN,19228,1
2008,LOUISIANA,ACADIA,BARACK OBAMA,7028,2
2012,LOUISIANA,ACADIA,MITT ROMNEY,19931,1
2012,LOUISIANA,ACADIA,BARACK OBAMA,6560,2
2016,LOUISIANA,ACADIA,DONALD TRUMP,21162,1
2016,LOUISIANA,ACADIA,HILLARY CLINTON,5638,2
2020,LOUISIANA,ACADIA,DONALD J TRUMP,22596,1
2020,LOUISIANA,ACADIA,JOSEPH R BIDEN JR,5443,2
2000,VIRGINIA,ACCOMACK,GEORGE W. BUSH,6352,1
2000,VIRGINIA,ACCOMACK,AL GORE,5092,2
2004,VIRGINIA,ACCOMACK,GEORGE W. BUSH,7726,1
2004,VIRGINIA,ACCOMACK,JOHN KERRY,5518,2
2008,VIRGINIA,ACCOMACK,JOHN MCCAIN,7833,1
2008,VIRGINIA,ACCOMACK,BARACK OBAMA,7607,2
2012,VIRGINIA,ACCOMACK,MITT ROMNEY,8213,1
2012,VIRGINIA,ACCOMACK,BARACK OBAMA,7655,2
2016,VIRGINIA,ACCOMACK,DONALD TRUMP,8583,1
2016,VIRGINIA,ACCOMACK,HILLARY CLINTON,6740,2
2020,VIRGINIA,ACCOMACK,DONALD J TRUMP,6078,1
2020,VIRGINIA,ACCOMACK,JOSEPH R BIDEN JR,5495,2
2000,IDAHO,ADA,GEORGE W. BUSH,75050,1
2000,IDAHO,ADA,AL GORE,40650,2
2004,IDAHO,ADA,GEORGE W. BUSH,94641,1
2004,IDAHO,ADA,JOHN KERRY,58523,2
2008,IDAHO,ADA,JOHN MCCAIN,93328,1
2008,IDAHO,ADA,BARACK OBAMA,82236,2
2012,IDAHO,ADA,MITT ROMNEY,97554,1
2012,IDAHO,ADA,BARACK OBAMA,77137,2
2016,IDAHO,ADA,DONALD TRUMP,93752,1
2016,IDAHO,ADA,HILLARY CLINTON,75677,2
2020,IDAHO,ADA,DONALD J TRUMP,130699,1
2020,IDAHO,ADA,JOSEPH R BIDEN JR,120539,2
2000,MISSOURI,ADAIR,GEORGE W. BUSH,6050,1
2000,KENTUCKY,ADAIR,GEORGE W. BUSH,5460,2
2004,MISSOURI,ADAIR,GEORGE W. BUSH,6367,1
2004,KENTUCKY,ADAIR,GEORGE W. BUSH,5628,2
2008,MISSOURI,ADAIR,JOHN MCCAIN,5891,1
2008,MISSOURI,ADAIR,BARACK OBAMA,5735,2
2012,KENTUCKY,ADAIR,MITT ROMNEY,5841,1
2012,MISSOURI,ADAIR,MITT ROMNEY,5651,2
2016,KENTUCKY,ADAIR,DONALD TRUMP,6637,1
2016,MISSOURI,ADAIR,DONALD TRUMP,6030,2
2020,KENTUCKY,ADAIR,DONALD J TRUMP,7276,1
2020,MISSOURI,ADAIR,DONALD J TRUMP,6413,2
2000,COLORADO,ADAMS,AL GORE,54132,1
2000,COLORADO,ADAMS,GEORGE W. BUSH,47561,2
2004,COLORADO,ADAMS,JOHN KERRY,69122,1
2004,COLORADO,ADAMS,GEORGE W. BUSH,65912,2
2008,COLORADO,ADAMS,BARACK OBAMA,93443,1
2008,COLORADO,ADAMS,JOHN MCCAIN,63976,2
2012,COLORADO,ADAMS,BARACK OBAMA,100649,1
2012,COLORADO,ADAMS,MITT ROMNEY,70972,2
2016,COLORADO,ADAMS,HILLARY CLINTON,96558,1
2016,COLORADO,ADAMS,DONALD TRUMP,80082,2
2020,COLORADO,ADAMS,JOSEPH R BIDEN JR,134202,1
2020,COLORADO,ADAMS,DONALD J TRUMP,95657,2
2000,VERMONT,ADDISON,AL GORE,8936,1
2000,VERMONT,ADDISON,GEORGE W. BUSH,6953,2
2004,VERMONT,ADDISON,JOHN KERRY,11147,1
2004,VERMONT,ADDISON,GEORGE W. BUSH,7077,2
2008,VERMONT,ADDISON,BARACK OBAMA,13202,1
2008,VERMONT,ADDISON,JOHN MCCAIN,5667,2
2012,VERMONT,ADDISON,BARACK OBAMA,12257,1
2012,VERMONT,ADDISON,MITT ROMNEY,5203,2
2016,VERMONT,ADDISON,HILLARY CLINTON,11219,1
2016,VERMONT,ADDISON,DONALD TRUMP,5297,2
2020,VERMONT,ADDISON,JOSEPH R BIDEN JR,15089,1
2020,VERMONT,ADDISON,DONALD J TRUMP,6567,2
2000,SOUTH CAROLINA,AIKEN,GEORGE W. BUSH,33203,1
2000,SOUTH CAROLINA,AIKEN,AL GORE,16409,2
2004,SOUTH CAROLINA,AIKEN,GEORGE W. BUSH,39077,1
2004,SOUTH CAROLINA,AIKEN,JOHN KERRY,19799,2
2008,SOUTH CAROLINA,AIKEN,JOHN MCCAIN,42849,1
2008,SOUTH CAROLINA,AIKEN,BARACK OBAMA,26101,2
2012,SOUTH CAROLINA,AIKEN,MITT ROMNEY,44042,1
2012,SOUTH CAROLINA,AIKEN,BARACK OBAMA,25322,2
2016,SOUTH CAROLINA,AIKEN,DONALD TRUMP,46025,1
2016,SOUTH CAROLINA,AIKEN,HILLARY CLINTON,25455,2
2020,SOUTH CAROLINA,AIKEN,DONALD J TRUMP,27763,1
2020,SOUTH CAROLINA,AIKEN,DONALD J TRUMP,18606,2
2000,MINNESOTA,AITKIN,AL GORE,3830,1
2000,MINNESOTA,AITKIN,GEORGE W. BUSH,3755,2
2004,MINNESOTA,AITKIN,GEORGE W. BUSH,4768,1
2004,MINNESOTA,AITKIN,JOHN KERRY,4539,2
2008,MINNESOTA,AITKIN,BARACK OBAMA,4595,1
2008,MINNESOTA,AITKIN,JOHN MCCAIN,4589,2
2012,MINNESOTA,AITKIN,MITT ROMNEY,4533,1
2012,MINNESOTA,AITKIN,BARACK OBAMA,4412,2
2016,MINNESOTA,AITKIN,DONALD TRUMP,5516,1
2016,MINNESOTA,AITKIN,HILLARY CLINTON,3134,2
2020,MINNESOTA,AITKIN,DONALD J TRUMP,6258,1
2020,MINNESOTA,AITKIN,JOSEPH R BIDEN JR,3607,2
2000,FLORIDA,ALACHUA,AL GORE,47365,1
2000,FLORIDA,ALACHUA,GEORGE W. BUSH,34124,2
2004,FLORIDA,ALACHUA,JOHN KERRY,62504,1
2004,FLORIDA,ALACHUA,GEORGE W. BUSH,47762,2
2008,FLORIDA,ALACHUA,BARACK OBAMA,75565,1
2008,FLORIDA,ALACHUA,JOHN MCCAIN,48513,2
2012,FLORIDA,ALACHUA,BARACK OBAMA,69699,1
2012,FLORIDA,ALACHUA,MITT ROMNEY,48797,2
2016,FLORIDA,ALACHUA,HILLARY CLINTON,75820,1
2016,FLORIDA,ALACHUA,DONALD TRUMP,46834,2
2020,FLORIDA,ALACHUA,JOSEPH R BIDEN JR,89704,1
2020,FLORIDA,ALACHUA,DONALD J TRUMP,50972,2
2000,NORTH CAROLINA,ALAMANCE,GEORGE W. BUSH,29305,1
2000,NORTH CAROLINA,ALAMANCE,AL GORE,17459,2
2004,NORTH CAROLINA,ALAMANCE,GEORGE W. BUSH,33302,1
2004,NORTH CAROLINA,ALAMANCE,JOHN KERRY,20686,2
2008,NORTH CAROLINA,ALAMANCE,JOHN MCCAIN,34859,1
2008,NORTH CAROLINA,ALAMANCE,BARACK OBAMA,28918,2
2012,NORTH CAROLINA,ALAMANCE,MITT ROMNEY,38170,1
2012,NORTH CAROLINA,ALAMANCE,BARACK OBAMA,28875,2
2016,NORTH CAROLINA,ALAMANCE,DONALD TRUMP,38815,1
2016,NORTH CAROLINA,ALAMANCE,HILLARY CLINTON,29833,2
2020,NORTH CAROLINA,ALAMANCE,DONALD J TRUMP,29543,1
2020,NORTH CAROLINA,ALAMANCE,JOSEPH R BIDEN JR,23256,2
2000,CALIFORNIA,ALAMEDA,AL GORE,342889,1
2000,CALIFORNIA,ALAMEDA,GEORGE W. BUSH,119279,2
2004,CALIFORNIA,ALAMEDA,JOHN KERRY,422585,1
2004,CALIFORNIA,ALAMEDA,GEORGE W. BUSH,130911,2
2008,CALIFORNIA,ALAMEDA,BARACK OBAMA,489106,1
2008,CALIFORNIA,ALAMEDA,JOHN MCCAIN,119555,2
2012,CALIFORNIA,ALAMEDA,BARACK OBAMA,469684,1
2012,CALIFORNIA,ALAMEDA,MITT ROMNEY,108182,2
2016,CALIFORNIA,ALAMEDA,HILLARY CLINTON,514842,1
2016,CALIFORNIA,ALAMEDA,DONALD TRUMP,95922,2
2020,CALIFORNIA,ALAMEDA,JOSEPH R BIDEN JR,617659,1
2020,CALIFORNIA,ALAMEDA,DONALD J TRUMP,136309,2
2000,COLORADO,ALAMOSA,GEORGE W. BUSH,2857,1
2000,COLORADO,ALAMOSA,AL GORE,2455,2
2004,COLORADO,ALAMOSA,GEORGE W. BUSH,3179,1
2004,COLORADO,ALAMOSA,JOHN KERRY,3017,2
2008,COLORADO,ALAMOSA,BARACK OBAMA,3521,1
2008,COLORADO,ALAMOSA,JOHN MCCAIN,2635,2
2012,COLORADO,ALAMOSA,BARACK OBAMA,3811,1
2012,COLORADO,ALAMOSA,MITT ROMNEY,2705,2
2016,COLORADO,ALAMOSA,HILLARY CLINTON,3189,1
2016,COLORADO,ALAMOSA,DONALD TRUMP,3046,2
2020,COLORADO,ALAMOSA,DONALD J TRUMP,3813,1
2020,COLORADO,ALAMOSA,JOSEPH R BIDEN JR,3759,2
2000,NEW YORK,ALBANY,AL GORE,85617,1
2000,NEW YORK,ALBANY,GEORGE W. BUSH,47624,2
2004,NEW YORK,ALBANY,JOHN KERRY,86213,1
2004,NEW YORK,ALBANY,GEORGE W. BUSH,52369,2
2008,NEW YORK,ALBANY,BARACK OBAMA,93937,1
2008,NEW YORK,ALBANY,JOHN MCCAIN,50586,2
2012,NEW YORK,ALBANY,BARACK OBAMA,83978,1
2012,NEW YORK,ALBANY,MITT ROMNEY,40210,2
2016,NEW YORK,ALBANY,HILLARY CLINTON,83077,1
2016,NEW YORK,ALBANY,DONALD TRUMP,47810,2
2020,NEW YORK,ALBANY,JOSEPH R BIDEN JR,99474,1
2020,NEW YORK,ALBANY,DONALD J TRUMP,51081,2
2000,VIRGINIA,ALBEMARLE,GEORGE W. BUSH,18291,1
2000,VIRGINIA,ALBEMARLE,AL GORE,16255,2
2004,VIRGINIA,ALBEMARLE,JOHN KERRY,22088,1
2004,VIRGINIA,ALBEMARLE,GEORGE W. BUSH,21189,2
2008,VIRGINIA,ALBEMARLE,BARACK OBAMA,29792,1
2008,VIRGINIA,ALBEMARLE,JOHN MCCAIN,20576,2
2012,VIRGINIA,ALBEMARLE,BARACK OBAMA,29757,1
2012,VIRGINIA,ALBEMARLE,MITT ROMNEY,23297,2
2016,VIRGINIA,ALBEMARLE,HILLARY CLINTON,33345,1
2016,VIRGINIA,ALBEMARLE,DONALD TRUMP,19259,2
2020,VIRGINIA,ALBEMARLE,JOSEPH R BIDEN JR,33416,1
2020,VIRGINIA,ALBEMARLE,DONALD J TRUMP,11587,2
2000,MICHIGAN,ALCONA,GEORGE W. BUSH,3152,1
2000,MICHIGAN,ALCONA,AL GORE,2696,2
2004,MICHIGAN,ALCONA,GEORGE W. BUSH,3592,1
2004,MICHIGAN,ALCONA,JOHN KERRY,2871,2
2008,MICHIGAN,ALCONA,JOHN MCCAIN,3404,1
2008,MICHIGAN,ALCONA,BARACK OBAMA,2896,2
2012,MICHIGAN,ALCONA,MITT ROMNEY,3571,1
2012,MICHIGAN,ALCONA,BARACK OBAMA,2472,2
2016,MICHIGAN,ALCONA,DONALD TRUMP,4201,1
2016,MICHIGAN,ALCONA,HILLARY CLINTON,1732,2
2020,MICHIGAN,ALCONA,DONALD J TRUMP,4848,1
2020,MICHIGAN,ALCONA,JOSEPH R BIDEN JR,2142,2
2000,MISSISSIPPI,ALCORN,GEORGE W. BUSH,7254,1
2000,MISSISSIPPI,ALCORN,AL GORE,5059,2
2004,MISSISSIPPI,ALCORN,GEORGE W. BUSH,8605,1
2004,MISSISSIPPI,ALCORN,JOHN KERRY,5425,2
2008,MISSISSIPPI,ALCORN,JOHN MCCAIN,10805,1
2008,MISSISSIPPI,ALCORN,BARACK OBAMA,4130,2
2012,MISSISSIPPI,ALCORN,MITT ROMNEY,11111,1
2012,MISSISSIPPI,ALCORN,BARACK OBAMA,3511,2
2016,MISSISSIPPI,ALCORN,DONALD TRUMP,11819,1
2016,MISSISSIPPI,ALCORN,HILLARY CLINTON,2684,2
2020,MISSISSIPPI,ALCORN,DONALD J TRUMP,12818,1
2020,MISSISSIPPI,ALCORN,JOSEPH R BIDEN JR,2782,2
2000,NORTH CAROLINA,ALEXANDER,GEORGE W. BUSH,9242,1
2000,NORTH CAROLINA,ALEXANDER,AL GORE,4166,2
2004,NORTH CAROLINA,ALEXANDER,GEORGE W. BUSH,10928,1
2004,NORTH CAROLINA,ALEXANDER,JOHN KERRY,4618,2
2008,NORTH CAROLINA,ALEXANDER,JOHN MCCAIN,11790,1
2008,NORTH CAROLINA,ALEXANDER,BARACK OBAMA,5167,2
2012,NORTH CAROLINA,ALEXANDER,MITT ROMNEY,12253,1
2012,NORTH CAROLINA,ALEXANDER,BARACK OBAMA,4611,2
2016,NORTH CAROLINA,ALEXANDER,DONALD TRUMP,13893,1
2016,NORTH CAROLINA,ALEXANDER,HILLARY CLINTON,3767,2
2020,NORTH CAROLINA,ALEXANDER,DONALD J TRUMP,12251,1
2020,NORTH CAROLINA,ALEXANDER,DONALD J TRUMP,2741,2
2000,VIRGINIA,ALEXANDRIA,AL GORE,33633,1
2000,VIRGINIA,ALEXANDRIA,GEORGE W. BUSH,19043,2
2004,VIRGINIA,ALEXANDRIA,JOHN KERRY,41116,1
2004,VIRGINIA,ALEXANDRIA,GEORGE W. BUSH,19844,2
2008,VIRGINIA,ALEXANDRIA,BARACK OBAMA,50473,1
2008,VIRGINIA,ALEXANDRIA,JOHN MCCAIN,19181,2
2012,VIRGINIA,ALEXANDRIA,BARACK OBAMA,52199,1
2012,VIRGINIA,ALEXANDRIA,MITT ROMNEY,20249,2
2016,VIRGINIA,ALEXANDRIA,HILLARY CLINTON,57242,1
2016,VIRGINIA,ALEXANDRIA,DONALD TRUMP,13285,2
2020,VIRGINIA,ALEXANDRIA CITY,JOSEPH R BIDEN JR,55940,1
2020,VIRGINIA,ALEXANDRIA CITY,JOSEPH R BIDEN JR,9973,2
2000,OKLAHOMA,ALFALFA,GEORGE W. BUSH,1886,1
2000,OKLAHOMA,ALFALFA,AL GORE,583,2
2004,OKLAHOMA,ALFALFA,GEORGE W. BUSH,2201,1
2004,OKLAHOMA,ALFALFA,JOHN KERRY,470,2
2008,OKLAHOMA,ALFALFA,JOHN MCCAIN,2023,1
2008,OKLAHOMA,ALFALFA,BARACK OBAMA,411,2
2012,OKLAHOMA,ALFALFA,MITT ROMNEY,1761,1
2012,OKLAHOMA,ALFALFA,BARACK OBAMA,322,2
2016,OKLAHOMA,ALFALFA,DONALD TRUMP,1933,1
2016,OKLAHOMA,ALFALFA,HILLARY CLINTON,216,2
2020,OKLAHOMA,ALFALFA,DONALD J TRUMP,1547,1
2020,OKLAHOMA,ALFALFA,DONALD J TRUMP,344,2
2000,MICHIGAN,ALGER,GEORGE W. BUSH,2142,1
2000,MICHIGAN,ALGER,AL GORE,2071,2
2004,MICHIGAN,ALGER,JOHN KERRY,2395,1
2004,MICHIGAN,ALGER,GEORGE W. BUSH,2318,2
2008,MICHIGAN,ALGER,BARACK OBAMA,2472,1
2008,MICHIGAN,ALGER,JOHN MCCAIN,2188,2
2012,MICHIGAN,ALGER,MITT ROMNEY,2330,1
2012,MICHIGAN,ALGER,BARACK OBAMA,2212,2
2016,MICHIGAN,ALGER,DONALD TRUMP,2585,1
2016,MICHIGAN,ALGER,HILLARY CLINTON,1663,2
2020,MICHIGAN,ALGER,DONALD J TRUMP,3014,1
2020,MICHIGAN,ALGER,JOSEPH R BIDEN JR,2053,2
2000,IOWA,ALLAMAKEE,GEORGE W. BUSH,3277,1
2000,IOWA,ALLAMAKEE,AL GORE,2883,2
2004,IOWA,ALLAMAKEE,GEORGE W. BUSH,3530,1
2004,IOWA,ALLAMAKEE,JOHN KERRY,3449,2
2008,IOWA,ALLAMAKEE,BARACK OBAMA,3971,1
2008,IOWA,ALLAMAKEE,JOHN MCCAIN,2965,2
2012,IOWA,ALLAMAKEE,BARACK OBAMA,3553,1
2012,IOWA,ALLAMAKEE,MITT ROMNEY,3264,2
2016,IOWA,ALLAMAKEE,DONALD TRUMP,4093,1
2016,IOWA,ALLAMAKEE,HILLARY CLINTON,2421,2
2020,IOWA,ALLAMAKEE,DONALD J TRUMP,2699,1
2020,IOWA,ALLAMAKEE,JOSEPH R BIDEN JR,2068,2
2000,MICHIGAN,ALLEGAN,GEORGE W. BUSH,28197,1
2000,MICHIGAN,ALLEGAN,AL GORE,15495,2
2004,MICHIGAN,ALLEGAN,GEORGE W. BUSH,34022,1
2004,MICHIGAN,ALLEGAN,JOHN KERRY,19355,2
2008,MICHIGAN,ALLEGAN,JOHN MCCAIN,30061,1
2008,MICHIGAN,ALLEGAN,BARACK OBAMA,24165,2
2012,MICHIGAN,ALLEGAN,MITT ROMNEY,31123,1
2012,MICHIGAN,ALLEGAN,BARACK OBAMA,20806,2
2016,MICHIGAN,ALLEGAN,DONALD TRUMP,34183,1
2016,MICHIGAN,ALLEGAN,HILLARY CLINTON,18050,2
2020,MICHIGAN,ALLEGAN,DONALD J TRUMP,41392,1
2020,MICHIGAN,ALLEGAN,JOSEPH R BIDEN JR,24449,2
2000,MARYLAND,ALLEGANY,GEORGE W. BUSH,14656,1
2000,NEW YORK,ALLEGANY,GEORGE W. BUSH,11436,2
2004,MARYLAND,ALLEGANY,GEORGE W. BUSH,18980,1
2004,NEW YORK,ALLEGANY,GEORGE W. BUSH,11894,2
2008,MARYLAND,ALLEGANY,JOHN MCCAIN,18405,1
2008,NEW YORK,ALLEGANY,JOHN MCCAIN,11013,2
2012,MARYLAND,ALLEGANY,MITT ROMNEY,19230,1
2012,MARYLAND,ALLEGANY,BARACK OBAMA,9805,2
2016,MARYLAND,ALLEGANY,DONALD TRUMP,21270,1
2016,NEW YORK,ALLEGANY,DONALD TRUMP,12525,2
2020,NEW YORK,ALLEGANY,DONALD J TRUMP,14135,1
2020,MARYLAND,ALLEGANY,DONALD J TRUMP,9513,2
2000,VIRGINIA,ALLEGHANY,GEORGE W. BUSH,2808,1
2000,NORTH CAROLINA,ALLEGHANY,GEORGE W. BUSH,2531,2
2004,VIRGINIA,ALLEGHANY,GEORGE W. BUSH,3962,1
2004,VIRGINIA,ALLEGHANY,JOHN KERRY,3203,2
2008,VIRGINIA,ALLEGHANY,JOHN MCCAIN,3715,1
2008,VIRGINIA,ALLEGHANY,BARACK OBAMA,3553,2
2012,VIRGINIA,ALLEGHANY,MITT ROMNEY,3595,1
2012,VIRGINIA,ALLEGHANY,BARACK OBAMA,3403,2
2016,VIRGINIA,ALLEGHANY,DONALD TRUMP,4874,1
2016,NORTH CAROLINA,ALLEGHANY,DONALD TRUMP,3814,2
2020,VIRGINIA,ALLEGHANY,DONALD J TRUMP,4409,1
2020,NORTH CAROLINA,ALLEGHANY,DONALD J TRUMP,3299,2
2000,PENNSYLVANIA,ALLEGHENY,AL GORE,329963,1
2000,PENNSYLVANIA,ALLEGHENY,GEORGE W. BUSH,235361,2
2004,PENNSYLVANIA,ALLEGHENY,JOHN KERRY,368912,1
2004,PENNSYLVANIA,ALLEGHENY,GEORGE W. BUSH,271925,2
2008,PENNSYLVANIA,ALLEGHENY,BARACK OBAMA,373153,1
2008,PENNSYLVANIA,ALLEGHENY,JOHN MCCAIN,272347,2
2012,PENNSYLVANIA,ALLEGHENY,BARACK OBAMA,352687,1
2012,PENNSYLVANIA,ALLEGHENY,MITT ROMNEY,262039,2
2016,PENNSYLVANIA,ALLEGHENY,HILLARY CLINTON,367617,1
2016,PENNSYLVANIA,ALLEGHENY,DONALD TRUMP,259480,2
2020,PENNSYLVANIA,ALLEGHENY,JOSEPH R BIDEN JR,429065,1
2020,PENNSYLVANIA,ALLEGHENY,DONALD J TRUMP,282324,2
2000,INDIANA,ALLEN,GEORGE W. BUSH,70426,1
2000,INDIANA,ALLEN,AL GORE,41636,2
2004,INDIANA,ALLEN,GEORGE W. BUSH,82013,1
2004,INDIANA,ALLEN,JOHN KERRY,46710,2
2008,INDIANA,ALLEN,JOHN MCCAIN,77793,1
2008,INDIANA,ALLEN,BARACK OBAMA,71263,2
2012,INDIANA,ALLEN,MITT ROMNEY,84613,1
2012,INDIANA,ALLEN,BARACK OBAMA,60036,2
2016,INDIANA,ALLEN,DONALD TRUMP,83930,1
2016,INDIANA,ALLEN,HILLARY CLINTON,55382,2
2020,INDIANA,ALLEN,DONALD J TRUMP,92083,1
2020,INDIANA,ALLEN,JOSEPH R BIDEN JR,73189,2
2000,SOUTH CAROLINA,ALLENDALE,AL GORE,2338,1
2000,SOUTH CAROLINA,ALLENDALE,GEORGE W. BUSH,967,2
2004,SOUTH CAROLINA,ALLENDALE,JOHN KERRY,2565,1
2004,SOUTH CAROLINA,ALLENDALE,GEORGE W. BUSH,985,2
2008,SOUTH CAROLINA,ALLENDALE,BARACK OBAMA,3029,1
2008,SOUTH CAROLINA,ALLENDALE,JOHN MCCAIN,947,2
2012,SOUTH CAROLINA,ALLENDALE,BARACK OBAMA,3297,1
2012,SOUTH CAROLINA,ALLENDALE,MITT ROMNEY,838,2
2016,SOUTH CAROLINA,ALLENDALE,HILLARY CLINTON,2735,1
2016,SOUTH CAROLINA,ALLENDALE,DONALD TRUMP,789,2
2020,SOUTH CAROLINA,ALLENDALE,JOSEPH R BIDEN JR,1588,1
2020,SOUTH CAROLINA,ALLENDALE,JOSEPH R BIDEN JR,720,2
2000,MICHIGAN,ALPENA,AL GORE,7053,1
2000,MICHIGAN,ALPENA,GEORGE W. BUSH,6769,2
2004,MICHIGAN,ALPENA,GEORGE W. BUSH,7665,1
2004,MICHIGAN,ALPENA,JOHN KERRY,7407,2
2008,MICHIGAN,ALPENA,BARACK OBAMA,7705,1
2008,MICHIGAN,ALPENA,JOHN MCCAIN,7125,2
2012,MICHIGAN,ALPENA,MITT ROMNEY,7298,1
2012,MICHIGAN,ALPENA,BARACK OBAMA,6549,2
2016,MICHIGAN,ALPENA,DONALD TRUMP,9090,1
2016,MICHIGAN,ALPENA,HILLARY CLINTON,4877,2
2020,MICHIGAN,ALPENA,DONALD J TRUMP,10686,1
2020,MICHIGAN,ALPENA,JOSEPH R BIDEN JR,6000,2
2000,CALIFORNIA,ALPINE,GEORGE W. BUSH,281,1
2000,CALIFORNIA,ALPINE,AL GORE,265,2
2004,CALIFORNIA,ALPINE,JOHN KERRY,373,1
2004,CALIFORNIA,ALPINE,GEORGE W. BUSH,311,2
2008,CALIFORNIA,ALPINE,BARACK OBAMA,422,1
2008,CALIFORNIA,ALPINE,JOHN MCCAIN,252,2
2012,CALIFORNIA,ALPINE,BARACK OBAMA,389,1
2012,CALIFORNIA,ALPINE,MITT ROMNEY,236,2
2016,CALIFORNIA,ALPINE,HILLARY CLINTON,334,1
2016,CALIFORNIA,ALPINE,DONALD TRUMP,217,2
2020,CALIFORNIA,ALPINE,JOSEPH R BIDEN JR,476,1
2020,CALIFORNIA,ALPINE,DONALD J TRUMP,244,2
2000,CALIFORNIA,AMADOR,GEORGE W. BUSH,8766,1
2000,CALIFORNIA,AMADOR,AL GORE,5906,2
2004,CALIFORNIA,AMADOR,GEORGE W. BUSH,10479,1
2004,CALIFORNIA,AMADOR,JOHN KERRY,6211,2
2008,CALIFORNIA,AMADOR,JOHN MCCAIN,10561,1
2008,CALIFORNIA,AMADOR,BARACK OBAMA,7813,2
2012,CALIFORNIA,AMADOR,MITT ROMNEY,10281,1
2012,CALIFORNIA,AMADOR,BARACK OBAMA,6830,2
2016,CALIFORNIA,AMADOR,DONALD TRUMP,10485,1
2016,CALIFORNIA,AMADOR,HILLARY CLINTON,6004,2
2020,CALIFORNIA,AMADOR,DONALD J TRUMP,13585,1
2020,CALIFORNIA,AMADOR,JOSEPH R BIDEN JR,8153,2
2000,VIRGINIA,AMELIA,GEORGE W. BUSH,2947,1
2000,VIRGINIA,AMELIA,AL GORE,1754,2
2004,VIRGINIA,AMELIA,GEORGE W. BUSH,3499,1
2004,VIRGINIA,AMELIA,JOHN KERRY,1862,2
2008,VIRGINIA,AMELIA,JOHN MCCAIN,3970,1
2008,VIRGINIA,AMELIA,BARACK OBAMA,2488,2
2012,VIRGINIA,AMELIA,MITT ROMNEY,4331,1
2012,VIRGINIA,AMELIA,BARACK OBAMA,2490,2
2016,VIRGINIA,AMELIA,DONALD TRUMP,4708,1
2016,VIRGINIA,AMELIA,HILLARY CLINTON,2128,2
2020,VIRGINIA,AMELIA,DONALD J TRUMP,2778,1
2020,VIRGINIA,AMELIA,DONALD J TRUMP,2595,2
2000,VIRGINIA,AMHERST,GEORGE W. BUSH,6660,1
2000,VIRGINIA,AMHERST,AL GORE,4812,2
2004,VIRGINIA,AMHERST,GEORGE W. BUSH,7758,1
2004,VIRGINIA,AMHERST,JOHN KERRY,4866,2
2008,VIRGINIA,AMHERST,JOHN MCCAIN,8470,1
2008,VIRGINIA,AMHERST,BARACK OBAMA,6094,2
2012,VIRGINIA,AMHERST,MITT ROMNEY,8876,1
2012,VIRGINIA,AMHERST,BARACK OBAMA,5900,2
2016,VIRGINIA,AMHERST,DONALD TRUMP,9719,1
2016,VIRGINIA,AMHERST,HILLARY CLINTON,5057,2
2020,VIRGINIA,AMHERST,DONALD J TRUMP,6550,1
2020,VIRGINIA,AMHERST,DONALD J TRUMP,4487,2
2000,MISSISSIPPI,AMITE,GEORGE W. BUSH,3677,1
2000,MISSISSIPPI,AMITE,AL GORE,2673,2
2004,MISSISSIPPI,AMITE,GEORGE W. BUSH,4106,1
2004,MISSISSIPPI,AMITE,JOHN KERRY,2973,2
2008,MISSISSIPPI,AMITE,JOHN MCCAIN,4245,1
2008,MISSISSIPPI,AMITE,BARACK OBAMA,3348,2
2012,MISSISSIPPI,AMITE,MITT ROMNEY,4414,1
2012,MISSISSIPPI,AMITE,BARACK OBAMA,3242,2
2016,MISSISSIPPI,AMITE,DONALD TRUMP,4289,1
2016,MISSISSIPPI,AMITE,HILLARY CLINTON,2697,2
2020,MISSISSIPPI,AMITE,DONALD J TRUMP,4503,1
2020,MISSISSIPPI,AMITE,JOSEPH R BIDEN JR,2620,2
2000,SOUTH CAROLINA,ANDERSON,GEORGE W. BUSH,35827,1
2000,SOUTH CAROLINA,ANDERSON,AL GORE,19606,2
2004,SOUTH CAROLINA,ANDERSON,GEORGE W. BUSH,43355,1
